Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),element1,element2,hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
0,0,1,4,4,550,5,,,0,0,0,0,0.2,113.1,0.6,1000,0,0,1,150,77.4,3,25.68,35.78
0,0,1,4,4,550,5,S,,0,0,1,7.5,0.2,113.1,0.6,1000,0,0,1,150,54.3,2.778505126,25.29,44.5
0,0,1,4,4,550,5,S,,0,0,1,18.75,0.2,113.1,0.6,1000,0,0,1,150,57.5,2.7,27.04,51.66
0,0,1,4,4,550,5,S,,0,0,1,37.5,0.2,113.1,0.6,1000,0,0,1,150,40.3,2.774529599,28.4,39.01
0,0,1,4,4,550,5,S,,0,0,1,75,0.2,113.1,0.6,1000,0,0,1,150,50,2.748763176,29.5,36.86
0,0,1,4,4,550,5,,,0,0,0,0,0.2,113.1,0.6,1000,0,0,1,150,19.5,2.795491508,34.63,16.41
0,0,1,20,2,550,9.136316229,,,0,0,0,0,0.2,103.87,0.6,1000,0,0,1,15,9,2.7,25.8,22.2
0,0,1,20,2,550,9.99999958,Bi,,1,0,0,5.26,0.2,103.87,0.6,1000,0,0,1,15,41,2.595803821,7.84,59.73
0,0,1,20,2,550,10,Bi,,1,0,0,11.11,0.2,103.87,0.6,1000,0,0,1,15,42,2.563287217,2.32,68.24
0,0,1,20,2,550,10.00000064,Bi,,1,0,0,17.64,0.2,103.87,0.6,1000,0,0,1,15,42,2.559309924,10.74,61.35
0,0,1,20,2,550,8.957392213,Bi,,1,0,0,25,0.2,103.87,0.6,1000,0,0,1,15,43,2.550656443,12.8,54.46
0,0,1,20,2,550,8.33520035,Bi,,1,0,0,33.33,0.2,103.87,0.6,1000,0,0,1,15,43,2.545497554,18.37,39.73
1,0,0,7.450513832,2,500,5,,,0,0,0,0,0.1,80,0.6,1200,1,0,0,300,40.95056269,2.76,31.44500194,35
1,0,0,7.610961137,2,500,5,I,BiOIO3,1,0,0,11.11,0.1,80,0.6,1200,1,0,0,300,41.46429636,2.745978393,30.69920875,38
1,0,0,7.753405389,2,500,5,I,BiOIO3,1,0,0,25,0.1,80,0.6,1200,1,0,0,300,41.81754272,2.724655901,29.75828209,44
1,0,0,7.849360423,2,500,5,I,BiOIO3,1,0,0,42.86,0.1,80,0.6,1200,1,0,0,300,57.80522526,2.714887379,27.95765709,57
