iter	RMSE
214	5.431739643
215	5.415363162
216	5.393080409
217	5.370331278
218	5.337321225
219	5.315117253
220	5.298589173
221	5.290141951
222	5.270691387
223	5.232108207
224	5.210104769
225	5.19633109
226	5.160752799
227	5.1343721
228	5.130276247
229	5.127493456
230	5.116144652
231	5.111800658
232	5.084518673
233	5.063154104
234	5.045403174
235	5.019429824
236	5.010148793
237	5.006381114
238	4.969846907
239	4.9446945
240	4.913195408
241	4.902466223
242	4.87212612
243	4.857553493
244	4.827446275
245	4.820499985
246	4.788734642
247	4.767029824
248	4.756407749
249	4.744438354
250	4.737545416
251	4.718030689
252	4.708554762
253	4.696279233
254	4.685067201
255	4.671346933
256	4.638975358
257	4.615683738
258	4.595312812
259	4.576626371
260	4.565036932
261	4.546029265
262	4.524072946
263	4.494590537
264	4.471834625
265	4.468423561
266	4.464462744
267	4.449718197
268	4.439643128
269	4.414090422
270	4.404738488
271	4.398431314
272	4.388781895
273	4.38663885
274	4.3700666
275	4.359922366
276	4.335485695
277	4.327756578
278	4.301959209
279	4.297385178
280	4.295168703
281	4.26520875
282	4.260012887
283	4.250412673
284	4.246531306
285	4.224163115
286	4.208626522
287	4.201674547
288	4.194756284
289	4.177072949
290	4.15990145
291	4.149319882
292	4.12435491
293	4.105162017
294	4.099710766
295	4.095590705
296	4.087754483
297	4.085883242
298	4.08384224
299	4.080736186
300	4.064505507
301	4.060313522
302	4.033206285
303	4.010997241
304	3.99264912
305	3.987482122
306	3.985916501
307	3.979751123
308	3.971194496
309	3.957358794
310	3.942306629
311	3.935103103
312	3.926834983
313	3.920705019
314	3.906128549
315	3.901584381
316	3.889905313
317	3.88287604
318	3.880854189
319	3.867194744
320	3.86329803
321	3.84423119
322	3.828410377
323	3.820342988
324	3.811199592
325	3.793786919
326	3.763428732
327	3.760852816
328	3.738733505
329	3.723673722
330	3.715347593
331	3.711845576
332	3.696313594
333	3.690551904
334	3.670623004
335	3.66644383
336	3.651292252
337	3.638288767
338	3.625466304
339	3.614933501
340	3.612060614
341	3.604698103
342	3.592252254
343	3.579483137
344	3.558747421
345	3.54485851
346	3.525448796
347	3.506539434
348	3.502513002
349	3.48280336
350	3.472130551
351	3.469089192
352	3.466171622
353	3.461406968
354	3.455674987
355	3.440959667
356	3.430104868
357	3.423862626
358	3.411391644
359	3.403021496
360	3.400539918
361	3.38940368
362	3.38673055
363	3.371321063
364	3.355075179
365	3.348909505
366	3.333691732
367	3.328518332
368	3.326615259
369	3.308216915
370	3.302133245
371	3.298977862
372	3.2974097
373	3.283490093
374	3.281621267
375	3.272263093
376	3.270390005
377	3.253439367
378	3.244832723
379	3.231195929
380	3.22747833
381	3.209443757
382	3.206860448
383	3.195167241
384	3.19201682
385	3.185633017
386	3.175087233
387	3.160568437
388	3.149624591
389	3.147670552
390	3.146292462
391	3.138056001
392	3.127309033
393	3.117889055
394	3.11085466
395	3.104786188
396	3.089934796
397	3.082116266
398	3.065085951
399	3.045819764
400	3.02988553
401	3.025934884
402	3.024384679
403	3.015731841
404	3.009543558
405	3.001516637
406	2.992882646
407	2.991824096
408	2.979457808
409	2.977669225
410	2.969004932
411	2.962133514
412	2.950079244
413	2.948672783
414	2.937994515
415	2.929422914
416	2.918432205
417	2.913015292
418	2.912019311
419	2.895957936
420	2.887120594
421	2.878128728
422	2.875922911
423	2.869012458
424	2.860337982
425	2.849243376
426	2.838893588
427	2.833207457
428	2.83047255
429	2.827528958
430	2.826787281
431	2.817935223
432	2.802766689
433	2.792517614
434	2.778818381
435	2.76715591
436	2.754426061
437	2.745436279
438	2.740989832
439	2.727770204
440	2.724846646
441	2.714716925
442	2.706924199
443	2.694573254
444	2.685554002
445	2.673293612
446	2.662930634
447	2.662049811
448	2.648165621
449	2.640668148
450	2.632854778
451	2.624954502
452	2.622326956
453	2.616889738
454	2.615568295
455	2.611045796
456	2.598006226
457	2.587214253
458	2.583014305
459	2.577506468
460	2.569398677
461	2.560318906
462	2.550949232
463	2.546494302
464	2.536454583
465	2.518683094
466	2.517486224
467	2.504190126
468	2.488912248
469	2.486818049
470	2.4766366
471	2.472331921
472	2.470292134
473	2.456633525
474	2.446617243
475	2.444575484
476	2.439100474
477	2.424202325
478	2.416574067
479	2.414086875
480	2.412581223
481	2.410039224
482	2.398973089
483	2.390489175
484	2.386455476
485	2.377760434
486	2.369700587
487	2.366519536
488	2.358992792
489	2.356781743
490	2.351916071
491	2.351258499
492	2.34002634
493	2.327788527
494	2.310192482
495	2.305605878
496	2.301243919
497	2.299783546
498	2.292532079
499	2.28744266
500	2.280914541
501	2.271212534
502	2.266990415
503	2.261488844
504	2.25511478
505	2.250953973
506	2.242818151
507	2.236190667
508	2.234601903
509	2.223723114
510	2.214580136
511	2.210654991
512	2.206338757
513	2.191569596
514	2.184843634
515	2.180131449
516	2.177119379
517	2.17246445
518	2.163233331
519	2.161886783
520	2.149853803
521	2.144432761
522	2.142991889
523	2.136946438
524	2.130304282
525	2.127510563
526	2.123017592
527	2.121302055
528	2.119622114
529	2.118363763
530	2.117587858
531	2.11145679
532	2.102781303
533	2.092431927
534	2.090956183
535	2.087027645
536	2.081584546
537	2.076128856
538	2.064795464
539	2.062976139
540	2.053830298
541	2.048725313
542	2.045407839
543	2.040773919
544	2.036228571
545	2.032081891
546	2.029728373
547	2.02610925
548	2.024683839
549	2.019262081
550	2.014444709
551	2.010873361
552	2.002962701
553	1.998185733
554	1.996254402
555	1.990885251
556	1.984910422
557	1.981496621
558	1.978606745
559	1.974846864
560	1.967796115
561	1.966280611
562	1.965300688
563	1.961309289
564	1.953341182
565	1.949872171
566	1.943154736
567	1.935739413
568	1.930035851
569	1.927521054
570	1.918838233
571	1.914788197
572	1.909311628
573	1.905148435
574	1.899546559
575	1.89512201
576	1.889994575
577	1.887038778
578	1.883422106
579	1.881888087
580	1.879280747
581	1.875214278
582	1.871252509
583	1.870133521
584	1.864623924
585	1.860937713
586	1.85774331
587	1.851864988
588	1.849821322
589	1.844185268
590	1.838576054
591	1.835047278
592	1.824335957
593	1.822391263
594	1.819118334
595	1.814501568
596	1.810827602
597	1.802826438
598	1.797975057
599	1.789721955
600	1.777391273
601	1.775006685
602	1.770775757
603	1.765027056
604	1.760260213
605	1.756469897
606	1.752097173
607	1.747227155
608	1.742052528
609	1.733810376
610	1.727735762
611	1.7167983
612	1.713711689
613	1.712426701
614	1.709830759
615	1.704485724
616	1.699969188
617	1.693122828
618	1.690314741
619	1.688698638
620	1.687853035
621	1.684100882
622	1.672835711
623	1.671658023
624	1.668556203
625	1.668047568
626	1.662367946
627	1.658812875
628	1.653897723
629	1.653356356
630	1.65153576
631	1.646656525
632	1.645599504
633	1.640171871
634	1.639356294
635	1.635701805
636	1.624778124
637	1.624198285
638	1.621131679
639	1.617630852
640	1.612002173
641	1.606633598
642	1.601968703
643	1.600919062
644	1.59819015
645	1.595806765
646	1.592503627
647	1.582536038
648	1.576985976
649	1.575892187
650	1.575405029
651	1.574538055
652	1.573620978
653	1.572744839
654	1.57006425
655	1.569018082
656	1.566786286
657	1.560311017
658	1.557231395
659	1.556165919
660	1.551610146
661	1.545052095
662	1.539249443
663	1.537333001
664	1.536316306
665	1.534938239
666	1.528240343
667	1.522803894
668	1.516374189
669	1.511509658
670	1.505679998
671	1.503737946
672	1.500842937
673	1.498277879
674	1.495833106
675	1.493675069
676	1.489509355
677	1.481372412
678	1.478909563
679	1.472547701
680	1.469596479
681	1.466304347
682	1.46306121
683	1.46164059
684	1.458338775
685	1.455740137
686	1.451767514
687	1.446283469
688	1.445488048
689	1.439829499
690	1.435126852
691	1.431830972
692	1.424866371
693	1.419913864
694	1.415190571
695	1.410802712
696	1.40502865
697	1.403026249
698	1.400503793
699	1.398503616
700	1.394961366
701	1.389982949
702	1.38776296
703	1.382180538
704	1.377509298
705	1.375986538
706	1.375218472
707	1.372691651
708	1.370467892
709	1.365907299
710	1.362632968
711	1.360560078
712	1.357040022
713	1.352596894
714	1.349223989
715	1.345778764
716	1.339672975
717	1.336109794
718	1.331939819
719	1.3278777
720	1.326166986
721	1.32341175
722	1.322735947
723	1.320387891
724	1.317698667
725	1.315553037
726	1.310508189
727	1.310019894
728	1.305403247
729	1.302689276
730	1.298557977
731	1.295644155
732	1.292554517
733	1.287221897
734	1.285149834
735	1.282847111
736	1.28225387
737	1.281710873
738	1.276446824
739	1.273183848
740	1.272803024
741	1.267941604
742	1.264778293
743	1.260708582
744	1.257659866
745	1.254487029
746	1.249703754
747	1.247216359
748	1.245110166
749	1.241894459
750	1.236844279
751	1.235735663
752	1.23369429
753	1.230973515
754	1.224587639
755	1.221356141
756	1.220917753
757	1.217156183
758	1.214158161
759	1.210831333
760	1.208779943
761	1.206934958
762	1.205259221
763	1.204001422
764	1.200328592
765	1.198891582
766	1.195886331
767	1.193210145
768	1.187966892
769	1.184448805
770	1.181006792
771	1.177363916
772	1.174645145
773	1.171955201
774	1.168583411
775	1.166472287
776	1.16204446
777	1.159858916
778	1.156665207
779	1.155370413
780	1.152798593
781	1.152121451
782	1.149783254
783	1.146832053
784	1.144402573
785	1.143020238
786	1.140662533
787	1.136188024
788	1.133758924
789	1.130108191
790	1.127622993
791	1.124725151
792	1.121151103
793	1.118827763
794	1.114418194
795	1.111657801
796	1.110250622
797	1.107592652
798	1.104868221
799	1.103423273
800	1.100651128
801	1.095555784
802	1.093585736
803	1.092975516
804	1.091556273
805	1.090270897
806	1.088475313
807	1.087179056
808	1.085258818
809	1.082095862
810	1.079237262
811	1.076372568
812	1.069733417
813	1.06825732
814	1.064422802
815	1.0625965
816	1.060235855
817	1.059253912
818	1.055833537
819	1.053676333
820	1.049959489
821	1.048331337
822	1.046310342
823	1.045345054
824	1.043878794
825	1.043341767
826	1.042386047
827	1.039513179
828	1.03806012
829	1.035713317
830	1.033547835
831	1.029086936
832	1.027111923
833	1.025492475
834	1.023739502
835	1.021323807
836	1.019973716
837	1.018611736
838	1.017611688
839	1.012492241
840	1.010633255
841	1.009332354
842	1.007839971
843	1.002109068
844	1.000310989
845	0.9997694084
846	0.9950590776
847	0.9937094801
848	0.9893620814
849	0.9876003601
850	0.9852708853
851	0.9836100573
852	0.9817605317
853	0.9806554176
854	0.9782392872
855	0.9745313229
856	0.970799028
857	0.9695580451
858	0.9676503994
859	0.9664423198
860	0.9650057926
861	0.9605326384
862	0.9589914806
863	0.9581479068
864	0.9546619872
865	0.9524482902
866	0.949347955
867	0.9460041962
868	0.9424368865
869	0.9404323848
870	0.9389450067
871	0.9361756908
872	0.9344190688
873	0.9322839482
874	0.9318378953
875	0.9302094464
876	0.9293071268
877	0.9283831961
878	0.9263029367
879	0.9257447132
880	0.9249130473
881	0.922910056
882	0.9212468625
883	0.9191259668
884	0.9170470299
885	0.9150440131
886	0.9131978053
887	0.9111542284
888	0.9087669396
889	0.9071625065
890	0.9057174408
891	0.9022231982
892	0.9017086445
893	0.9005048374
894	0.8996410468
895	0.8976975364
896	0.8943440179
897	0.8934221748
898	0.8932228598
899	0.8912168923
