Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
1,0,0,9.972627649,4.0,550,2.5,0,0,0,0.0,0.1,113.1,0.6,1200.0,1,0,0,300,108.27,2.95,19.92077348,34.2
1,0,0,9.967441485,4.0,550,2.5,1,0,0,1.0,0.1,113.1,0.6,1200.0,1,0,0,300,80.50661298,2.792405981,24.99226231,40.8
1,0,0,9.945623994,4.0,550,2.5,1,0,0,3.0,0.1,113.1,0.6,1200.0,1,0,0,300,53.64039755,2.635336942,24.97457252,47.0
1,0,0,9.934466474,4.0,550,2.5,1,0,0,5.0,0.1,113.1,0.6,1200.0,1,0,0,300,59.29850844,2.629355338,24.93894301,53.7
1,0,0,9.950170143,4.0,550,2.5,1,0,0,7.0,0.1,113.1,0.6,1200.0,1,0,0,300,67.5,2.648545301,22.54747454,60.8
1,0,0,9.970831913,4.0,550,2.5,1,0,0,9.0,0.1,113.1,0.6,1200.0,1,0,0,300,64.33912368,2.640479113,24.56600215,50.8
0,0,1,10.19100418,4.0,550,5.0,0,0,0,0.0,0.05,16.0,0.6,1200.0,1,0,0,300,33.12745953,2.606796802,36.34190063,34.97
0,0,1,17.79136113,4.0,550,5.0,1,0,0,42.86,0.05,16.0,0.6,1200.0,1,0,0,300,72.14527106,2.643558495,31.78131594,61.34
0,0,1,28.78143027,4.0,550,5.0,1,0,0,100.0,0.05,16.0,0.6,1200.0,1,0,0,300,82.97371548,2.680427756,24.07059594,55.22
1,0,0,10.0,2.0,550,15.0,0,0,1,4.0,0.2,113.1,0.6,2400.0,0,0,1,30,32.74584702,2.631044378,40.72215034,36.29
1,0,0,10.0,2.0,550,15.0,0,0,1,14.0,0.2,113.1,0.6,2400.0,0,0,1,30,43.45779052,2.567296825,35.26662435,36.99
1,0,0,10.0,2.0,550,15.0,0,0,0,0.0,0.2,113.1,0.6,2415.0,0,1,0,150,33.0,2.65,13.69127164,42.3
1,0,0,10.0,2.0,550,15.0,1,0,0,25.0,0.2,113.1,0.6,2415.0,0,1,0,150,49.0,2.786839469,11.94931764,59.7
1,0,0,10.0,2.0,525,15.0,0,0,0,0.0,0.2,113.1,0.6,2415.0,0,1,0,150,71.59377451,2.693761367,16.7255931,31.22
1,0,0,10.0,2.0,525,15.0,1,0,0,1.523,0.2,113.1,0.6,2415.0,0,1,0,150,60.82737076,2.696480052,16.60668771,51.67
1,0,0,10.0,2.0,525,15.0,1,0,0,3.093,0.2,113.1,0.6,2415.0,0,1,0,150,56.87808826,2.699629016,16.48270069,35.3
1,0,0,10.0,2.0,525,15.0,1,0,0,5.263,0.2,113.1,0.6,2415.0,0,1,0,150,54.12936819,2.70443838,16.31127476,26.12
